run_id	target_id	version_id	skill_type	source_path	audit_score_0_100	format_score	description_score	structure_score	safety_score	compliance_status	severe_findings	findings_count	line_count	description_length
skill-system-stage-03-v1	system.imagegen	live	system_skill	/Users/daniildegtyarev/.codex/skills/.system/imagegen/SKILL.md	100	25	25	25	25	pass	0	0	105	277
skill-system-stage-03-v1	system.openai-docs	live	system_skill	/Users/daniildegtyarev/.codex/skills/.system/openai-docs/SKILL.md	100	25	25	25	25	pass	0	0	104	309
skill-system-stage-03-v1	system.plugin-creator	live	system_skill	/Users/daniildegtyarev/.codex/skills/.system/plugin-creator/SKILL.md	100	25	25	25	25	pass	0	0	114	290
skill-system-stage-03-v1	system.skill-creator	live	system_skill	/Users/daniildegtyarev/.codex/skills/.system/skill-creator/SKILL.md	100	25	25	25	25	pass	0	0	127	289
skill-system-stage-03-v1	system.skill-installer	live	system_skill	/Users/daniildegtyarev/.codex/skills/.system/skill-installer/SKILL.md	100	25	25	25	25	pass	0	0	103	295
skill-system-stage-03-v1	global.architecture-design	live	global_skill	/Users/daniildegtyarev/.codex/skills/architecture-design/SKILL.md	100	25	25	25	25	pass	0	0	95	268
skill-system-stage-03-v1	global.architecture-review	live	global_skill	/Users/daniildegtyarev/.codex/skills/architecture-review/SKILL.md	100	25	25	25	25	pass	0	0	95	221
skill-system-stage-03-v1	global.backend-performance-evidence	live	global_skill	/Users/daniildegtyarev/.codex/skills/backend-performance-evidence/SKILL.md	100	25	25	25	25	pass	0	0	133	363
skill-system-stage-03-v1	global.backend-quality-gates	live	global_skill	/Users/daniildegtyarev/.codex/skills/backend-quality-gates/SKILL.md	100	25	25	25	25	pass	0	0	87	327
skill-system-stage-03-v1	global.browser-qa-evidence	live	global_skill	/Users/daniildegtyarev/.codex/skills/browser-qa-evidence/SKILL.md	100	25	25	25	25	pass	0	0	86	276
skill-system-stage-03-v1	global.contract-impact-analysis	live	global_skill	/Users/daniildegtyarev/.codex/skills/contract-impact-analysis/SKILL.md	100	25	25	25	25	pass	0	0	89	318
skill-system-stage-03-v1	global.data-analytics-methodology	live	global_skill	/Users/daniildegtyarev/.codex/skills/data-analytics-methodology/SKILL.md	100	25	25	25	25	pass	0	0	288	955
skill-system-stage-03-v1	global.last30days	live	global_skill	/Users/daniildegtyarev/.codex/skills/last30days/SKILL.md	100	25	25	25	25	pass	0	0	118	351
skill-system-stage-03-v1	global.numba-jit-performance	live	global_skill	/Users/daniildegtyarev/.codex/skills/numba-jit-performance/SKILL.md	100	25	25	25	25	pass	0	0	120	283
skill-system-stage-03-v1	global.playwright	live	global_skill	/Users/daniildegtyarev/.codex/skills/playwright/SKILL.md	100	25	25	25	25	pass	0	0	102	301
skill-system-stage-03-v1	global.pre-ship-gate	live	global_skill	/Users/daniildegtyarev/.codex/skills/pre-ship-gate/SKILL.md	100	25	25	25	25	pass	0	0	85	233
skill-system-stage-03-v1	global.production-risk-review	live	global_skill	/Users/daniildegtyarev/.codex/skills/production-risk-review/SKILL.md	100	25	25	25	25	pass	0	0	93	239
skill-system-stage-03-v1	global.prompt-manager	live	global_skill	/Users/daniildegtyarev/.codex/skills/prompt-manager/SKILL.md	100	25	25	25	25	pass	0	0	102	289
skill-system-stage-03-v1	global.publish-ci-deploy	live	global_skill	/Users/daniildegtyarev/.codex/skills/publish-ci-deploy/SKILL.md	100	25	25	25	25	pass	0	0	166	302
skill-system-stage-03-v1	global.root-cause-debugging	live	global_skill	/Users/daniildegtyarev/.codex/skills/root-cause-debugging/SKILL.md	100	25	25	25	25	pass	0	0	85	255
skill-system-stage-03-v1	global.staged-plan-runner	live	global_skill	/Users/daniildegtyarev/.codex/skills/staged-plan-runner/SKILL.md	100	25	25	25	25	pass	0	0	99	260
skill-system-stage-03-v1	global.topological-data-analysis	live	global_skill	/Users/daniildegtyarev/.codex/skills/topological-data-analysis/SKILL.md	100	25	25	25	25	pass	0	0	131	518
skill-system-stage-03-v1	plugin.openai-bundled.browser.26.707.30751.control-in-app-browser	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-bundled/browser/26.707.30751/skills/control-in-app-browser/SKILL.md	94	25	25	19	25	pass	0	1	43	238
skill-system-stage-03-v1	plugin.openai-bundled.chrome.26.707.30751.control-chrome	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-bundled/chrome/26.707.30751/skills/control-chrome/SKILL.md	100	25	25	25	25	pass	0	0	49	185
skill-system-stage-03-v1	plugin.openai-bundled.computer-use.1.0.1000362.computer-use	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-bundled/computer-use/1.0.1000362/skills/computer-use/SKILL.md	100	25	25	25	25	pass	0	0	197	158
skill-system-stage-03-v1	plugin.openai-bundled.visualize.1.0.11.visualize	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-bundled/visualize/1.0.11/skills/visualize/SKILL.md	100	25	25	25	25	pass	0	0	351	220
skill-system-stage-03-v1	plugin.openai-curated.github.d6169bef.gh-address-comments	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/github/d6169bef/skills/gh-address-comments/SKILL.md	95	25	20	25	25	pass	0	1	44	387
skill-system-stage-03-v1	plugin.openai-curated.github.d6169bef.gh-fix-ci	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/github/d6169bef/skills/gh-fix-ci/SKILL.md	95	25	20	25	25	pass	0	1	81	248
skill-system-stage-03-v1	plugin.openai-curated.github.d6169bef.github	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/github/d6169bef/skills/github/SKILL.md	100	25	25	25	25	pass	0	0	74	253
skill-system-stage-03-v1	plugin.openai-curated.github.d6169bef.yeet	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/github/d6169bef/skills/yeet/SKILL.md	100	25	25	25	25	pass	0	0	70	238
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.cli	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/cli/SKILL.md	90	25	15	25	25	pass	0	2	172	187
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.community-evals	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/community-evals/SKILL.md	95	25	20	25	25	pass	0	1	207	297
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.datasets	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/datasets/SKILL.md	95	25	20	25	25	pass	0	1	121	189
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.gradio	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/gradio/SKILL.md	95	25	20	25	25	pass	0	1	245	134
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.jobs	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/jobs/SKILL.md	92	25	25	17	25	pass	0	1	1043	446
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.llm-trainer	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/llm-trainer/SKILL.md	92	25	25	17	25	pass	0	1	717	497
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.paper-publisher	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/paper-publisher/SKILL.md	92	25	25	17	25	pass	0	1	624	275
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.papers	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/papers/SKILL.md	90	25	15	25	25	pass	0	2	239	319
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.trackio	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/trackio/SKILL.md	95	25	20	25	25	pass	0	1	115	314
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.transformers.js	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/transformers.js/SKILL.md	92	25	25	17	25	pass	0	1	637	393
skill-system-stage-03-v1	plugin.openai-curated.hugging-face.b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04.vision-trainer	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated/hugging-face/b1986b3d3da5bb8a04d3cb1e69af5a29bb5c2c04/skills/vision-trainer/SKILL.md	92	25	25	17	25	pass	0	1	593	523
skill-system-stage-03-v1	plugin.openai-curated-remote.figma.2.0.14.figma-code-connect	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated-remote/figma/2.0.14/skills/figma-code-connect/SKILL.md	82	25	15	17	25	warn	0	3	527	248
skill-system-stage-03-v1	plugin.openai-curated-remote.figma.2.0.14.figma-create-new-file	live	plugin_skill	/Users/daniildegtyarev/.codex/plugins/cache/openai-curated-remote/figma/2.0.14/skills/figma-create-new-file/SKILL.md	95	25	20	25	25	pass	0	1	80	470
